Running strategy bcrp on dataset djia.
Start Time: 2015-0129-17-01-35-592.
-------------------------------------
Parameters [tc:0.000000]
day	 Daily Return	 Total return
228	1.007241	1.257729
229	1.016511	1.278495
230	0.997554	1.275368
231	0.995371	1.269464
232	0.996235	1.264684
233	1.003731	1.269402
234	1.018004	1.292257
235	0.991213	1.280903
236	1.005616	1.288096
237	1.012065	1.303637
238	1.009397	1.315887
239	1.004522	1.321837
240	0.979152	1.294280
241	1.008603	1.305414
242	0.995748	1.299863
243	1.004712	1.305988
244	1.000886	1.307145
245	0.997222	1.303514
246	0.983904	1.282533
247	1.008671	1.293654
248	1.014138	1.311943
249	0.992934	1.302673
250	0.993055	1.293626
251	1.006116	1.301538
252	0.991047	1.289885
253	1.007086	1.299025
254	0.995911	1.293714
255	1.006870	1.302602
256	1.012783	1.319253
257	0.987118	1.302258
258	1.017528	1.325083
259	0.971760	1.287662
260	0.983846	1.266862
261	0.989954	1.254135
262	1.001837	1.256439
263	0.997907	1.253809
264	1.000684	1.254667
265	0.979369	1.228782
266	1.007662	1.238197
267	1.021688	1.265052
268	0.994987	1.258711
269	0.983993	1.238562
270	0.997676	1.235683
271	0.994163	1.228471
272	0.995083	1.222430
273	1.008433	1.232738
274	1.003189	1.236670
275	0.999239	1.235729
276	1.017586	1.257461
277	0.997816	1.254715
278	0.990998	1.243420
279	0.984074	1.223617
280	1.015760	1.242901
281	0.976364	1.213524
282	1.012740	1.228984
283	1.017210	1.250135
284	0.992962	1.241337
285	0.995505	1.235757
286	0.998699	1.234150
287	1.040734	1.284422
288	1.014070	1.302494
289	0.989666	1.289033
290	1.007685	1.298940
291	0.991144	1.287437
292	1.010362	1.300777
293	1.004262	1.306322
294	0.989269	1.292303
295	0.996692	1.288029
296	0.992872	1.278847
297	1.019173	1.303366
298	0.999326	1.302488
299	1.010976	1.316784
300	0.978351	1.288277
301	1.014620	1.307111
302	0.991261	1.295689
303	0.986919	1.278740
304	0.998500	1.276822
305	1.006269	1.284826
306	1.007498	1.294459
307	0.999433	1.293726
308	0.974852	1.261191
309	0.985369	1.242738
310	1.002323	1.245625
311	0.992882	1.236759
312	1.015142	1.255485
313	0.976984	1.226589
314	1.022555	1.254255
315	0.980507	1.229806
316	1.013027	1.245826
317	0.991728	1.235521
318	1.025127	1.266565
319	0.983629	1.245831
320	0.996132	1.241011
321	1.009890	1.253285
322	0.982410	1.231239
323	0.983514	1.210941
324	0.994448	1.204218
325	1.006500	1.212045
326	0.979984	1.187785
327	1.006531	1.195543
328	1.003502	1.199730
329	1.010531	1.212365
330	0.990164	1.200440
331	0.976766	1.172548
332	0.987536	1.157934
333	1.003088	1.161509
334	1.060342	1.231597
335	0.974785	1.200541
336	0.981466	1.178290
337	1.030535	1.214269
338	1.019319	1.237728
339	0.993633	1.229848
340	1.013145	1.246014
341	1.007348	1.255170
342	0.974270	1.222874
343	0.978311	1.196352
344	1.021464	1.222030
345	1.008641	1.232590
346	0.980282	1.208286
347	0.982367	1.186981
348	0.994130	1.180014
349	1.012253	1.194472
350	0.985460	1.177105
351	0.978969	1.152349
352	1.006522	1.159864
353	1.021755	1.185097
354	0.996725	1.181215
355	0.998889	1.179902
356	1.009900	1.191583
357	0.992746	1.182939
358	1.043225	1.234071
359	0.982803	1.212849
360	1.008626	1.223311
361	1.013931	1.240353
362	1.000171	1.240566
363	0.986110	1.223335
364	0.991909	1.213437
365	0.976396	1.184795
366	1.020824	1.209468
367	0.971097	1.174510
368	1.021472	1.199730
369	1.012488	1.214712
370	0.981605	1.192368
371	0.977578	1.165632
372	0.988650	1.152403
373	1.011427	1.165571
374	1.034225	1.205463
375	0.980166	1.181554
376	0.991522	1.171538
377	0.983586	1.152308
378	1.001750	1.154325
379	0.979559	1.130730
380	0.989684	1.119065
381	0.993947	1.112291
382	1.006751	1.119800
383	0.987567	1.105878
384	0.935716	1.034787
385	0.982241	1.016410
386	0.973788	0.989769
387	1.064541	1.053650
388	0.975146	1.027462
389	1.030940	1.059252
390	1.050255	1.112485
391	0.997589	1.109802
392	1.011252	1.122290
393	0.966821	1.085054
394	0.994169	1.078727
395	0.980096	1.057255
396	1.024236	1.082879
397	1.025162	1.110126
398	1.033377	1.147178
399	0.992316	1.138363
400	1.003037	1.141820
401	0.978311	1.117055
402	1.046005	1.168445
403	0.996662	1.164545
404	0.999460	1.163916
405	1.023644	1.191435
406	0.983851	1.172194
407	1.015148	1.189950
408	1.012909	1.205311
409	0.984342	1.186438
410	1.001883	1.188673
411	0.984557	1.170316
412	0.981369	1.148512
413	1.005708	1.155068
414	0.987598	1.140743
415	0.965637	1.101543
416	1.025672	1.129823
417	0.979667	1.106850
418	1.023735	1.133121
419	1.013654	1.148593
420	1.014593	1.165354
421	0.988754	1.152248
422	0.977845	1.126720
423	1.011754	1.139963
424	1.004212	1.144765
425	0.987636	1.130611
426	1.006032	1.137431
427	0.985023	1.120395
428	1.003837	1.124694
429	0.975690	1.097353
430	0.997698	1.094827
431	1.013952	1.110103
432	1.007891	1.118862
433	0.978827	1.095173
434	0.983938	1.077583
435	1.042808	1.123711
436	0.996454	1.119727
437	0.986125	1.104190
438	0.981587	1.083859
439	1.004133	1.088338
440	1.017557	1.107447
441	0.978173	1.083274
442	1.033182	1.119219
443	1.032437	1.155524
444	1.011346	1.168635
445	1.033824	1.208162
446	0.979572	1.183482
447	1.006705	1.191416
448	1.027381	1.224039
449	0.999859	1.223866
450	0.981913	1.201730
451	1.012954	1.217297
452	0.972222	1.183483
453	1.014702	1.200883
454	0.980893	1.177937
455	1.010352	1.190132
456	1.013238	1.205886
457	1.005849	1.212939
458	0.993300	1.204812
459	1.025830	1.235932
460	1.016777	1.256668
461	1.001141	1.258102
462	0.990111	1.245660
463	0.991298	1.234820
464	0.982264	1.212919
465	1.003351	1.216984
466	1.009418	1.228445
467	1.019413	1.252294
468	0.999322	1.251445
469	0.985300	1.233049
470	0.993091	1.224529
471	1.023654	1.253495
472	1.005481	1.260365
473	1.000442	1.260923
474	0.996920	1.257039
475	0.977457	1.228701
476	1.016938	1.249513
477	0.992545	1.240198
478	0.989988	1.227781
479	0.997834	1.225122
480	1.006780	1.233429
481	0.983415	1.212972
482	1.002194	1.215633
483	0.983970	1.196146
484	1.010206	1.208353
485	1.006541	1.216257
486	0.992979	1.207718
487	0.982307	1.186350
488	1.024115	1.214958
489	0.993924	1.207576
490	0.989033	1.194333
491	0.988998	1.181193
492	1.009863	1.192843
493	1.009518	1.204197
494	0.998832	1.202790
495	0.992429	1.193683
496	0.990482	1.182322
497	0.998174	1.180163
498	0.988717	1.166847
499	1.032216	1.204438
500	1.001486	1.206228
501	1.014694	1.223952
502	1.001516	1.225808
503	0.979641	1.200851
504	1.020582	1.225567
505	1.003297	1.229608
506	1.001437	1.231375
507	1.006946	1.239928
BCRP(tc=0.0000), Final return: 1.24
-------------------------------------
